| objname   | ra     | dec    |
| char      | double | double |
pgc53463       224.408       29.9685
pgc53802       226.126     -0.851350
pgc53365       223.929      -1.00899
pgc53383       224.007      -1.38787
pgc53499       224.594      -1.09093
pgc53511       224.666       53.8862
pgc53532       224.749       53.9232
pgc4012632       224.326       54.5181
pgc53476       224.485       53.7850
pgc53562       224.909      -18.7316
pgc160364       224.735      -19.5429
pgc53450       224.340      -19.2136
pgc53525       224.730      -19.2391
pgc53485       224.512      -19.3907
pgc849351       224.519      -19.8736
pgc53516       224.693      -19.2669
pgc53634       225.251      -15.1216
pgc52827       221.898      -18.0705
pgc52839       221.943      -19.0785
pgc854314       222.517      -19.5052
pgc52761       221.661      -18.5133
pgc52887       222.177       12.4570
pgc52819       221.868       12.7649
pgc53029       222.793      -26.6382
pgc53037       222.807      -26.6312
pgc2816115       221.912       59.3644
pgc53057       222.900       58.9540
pgc53083       222.999       43.7206
pgc53073       222.945       43.6448
pgc53231       223.427       3.58253
pgc53178       223.272       3.33175
pgc53176       223.262       3.29601
pgc1223887       223.643       2.34392
pgc53384       224.005       2.46358
pgc53391       224.027      -37.6963
pgc52735       221.546     -0.222960
pgc1141860       220.699     -0.498400
pgc52291       219.472     -0.398820
pgc52500       220.462      -1.39248
pgc4012516       220.012       3.04113
pgc52495       220.453      0.686940
pgc52317       219.575       3.41028
pgc52178       218.952       3.03840
pgc1159795       220.064      0.206750
pgc1253386       220.390       3.49671
pgc52412       220.048     -0.289040
pgc52702       221.386       31.4154
pgc52694       221.365       31.4275
pgc52696       221.357      -20.6856
pgc52714       221.456      -20.8101
pgc52711       221.439      -20.7828
pgc52730       221.521      -18.0215
pgc812038       221.430      -22.5793
pgc52816       221.869      -22.2782
pgc52810       221.856      -22.4060
pgc52815       221.867      -22.1574
pgc792602       221.149      -24.1909
pgc52652       221.129       1.52272
pgc4004973       220.453       3.08972
pgc135858       220.000     -0.186160
pgc135857       219.920     -0.302570
pgc52534       220.623       1.50041
pgc52356       219.767       2.94809
pgc52491       220.435      -1.80750
pgc1231422       219.914       2.58184
pgc52456       220.243       2.18683
pgc1248765       219.814       3.27261
pgc52550       220.691     -0.351080
pgc52558       220.696      0.661740
pgc52256       219.287       3.04722
pgc1155970       219.928     0.0561200
pgc52614       220.985       1.60416
pgc4005004       220.945       3.54290
pgc3350682       222.749       2.33790
pgc52391       219.943      -32.6692
pgc52409       220.038       42.7795
pgc778366       219.917      -25.4904
pgc52411       220.047      -25.7766
pgc52476       220.383       44.5127
pgc1000732       219.668      -8.66752
pgc52345       219.726      -8.62666
pgc52460       220.277      -8.87519
pgc886354       221.239      -17.2479
pgc867749       220.638      -18.4705
pgc868840       220.658      -18.3820
pgc52574       220.762       4.76539
pgc4004996       220.872       4.53150
pgc52599       220.891      -24.4608
pgc52552       220.695      -24.2109
pgc52666       221.237      -23.7944
pgc52237       219.257       48.5450
pgc52154       218.874       48.7415
pgc52263       219.372       48.6237
pgc4016204       218.389       49.6201
pgc4004791       218.099       48.8773
pgc52050       218.500       49.4510
pgc52107       218.688       48.6695
pgc52057       218.505      -78.3873
pgc52364       219.829       53.8757
pgc2472512       218.707       54.5345
pgc52341       219.710       52.2726
pgc52226       219.191       51.4598
pgc52313       219.567      -22.3245
pgc52454       220.231      -32.3756
pgc51905       217.911      -43.4184
pgc51909       217.934       6.15812
pgc51933       218.034       6.18965
pgc51983       218.220       5.99899
pgc2543730       216.929       56.6589
pgc2541780       216.926       56.5960
pgc51509       216.362       56.3202
pgc51357       215.631       56.2516
pgc51912       217.969       8.93295
pgc51990       218.276      -41.7594
pgc51969       218.170      -44.1745
pgc51945       218.087       9.93343
pgc2365887       218.409       50.2008
pgc91372       219.148       49.4181
pgc2309848       219.089       48.0663
pgc731537       215.293      -29.2512
