# AKL - this is stupid, but be aware that I had to search and replace || -> | | a few times to get IDL to pick up the blanks. Switch to python ASAP.
# "EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"
# pgc|Objname|Dist|e_D|Glon|Glat|SGL|SGB|Vhel|Vgsr|V_LS|SGX|SGY|SGZ|So|DM_T|eDM_T|DM_Q|DM_G|eDM_G|DM_N|GpID|NBG_ID
# %7s|%11s|%6.2f|%5s|%8.4f|%8.4f|%8.4f|%8.4f|%5d|%5d|%5d|%7.2f|%7.2f|%7.2f|%1d|%5.2f|%4.2f|%5.2f|%5.2f|%4.2f|%5.2f|%4d|%8s
# ---| |Mpc|Mpc|deg|deg|deg|deg|km/s|km/s|km/s|Mpc|Mpc|Mpc| |mag|mag|mag|mag|mag|mag| |
# "The Catalogue of Principal Galaxies (PGC) Number"|"Galaxy name"|Distance|"Uncertainty in distance"|"Galactic longitude"|"Galactic latitude"|"Supergalactic longitude"|"Supergalactic latitude"|"Heliocentric velocity"|"Velocity in Galactic stndard of rest (RC3)"|"Local Sheet reference frame (2008, ApJ,676,184)"|"Distance projected to SGX axis"|"Distance projected to SGX axis"|"Distance projected to SGX axis"|"Source: 1=CMDs/TRGB; 2=Quality Distances; 3=Cosmicflows-1 group distances; 4=Numerical Action kinematic model"|"Distance modulus from CMDs/TRGB catalog"|"Error in TRGB modulus"|"Distance modulus from Quality Distances catalog; 10% distance uncertainties"|"Distance modulus for group containing galaxy from Cosmicflows-1 catalog"|"Error in group modulus"|"Distance from velocity based on a Numerical Action model"|"Tully 3000 group identification number"|"Nearby Galaxies Catalog (1988) Group ID number"
29623|ESO500-006|34.40|4.9|263.2759|24.4024|137.3575|-43.4452|2514|2306|2227|-18.35|16.90|-23.62|3| | | |32.68|0.29| |500|"31  5  2"
29653|SexA|1.43|0.07|246.1503|39.8789|109.0063|-40.6585|325|164|105|-0.35|1.03|-0.93|1|25.78|0.10| | | | |227|"14 12 12"
29691|NGC3157|33.00|1.7|267.3778|19.9853|145.2623|-42.6745|2841|2625|2542|-19.91|13.81|-22.34|3| | | |32.59|0.11| |495|"31 -4  2"
29702|PGC029702|33.00| |152.8122|48.0955|49.7072|-5.4414|2178|2249|2284|21.52|25.38|-3.17|4| | | | | |32.62|180|"13  0  0"
29716|ESO263-015|28.60|2.3|276.9827|7.4015|165.2565|-38.6430|2526|2300|2210|-21.58|5.68|-17.84|3| | | |32.28|0.17| |510|"31 -8  6"
29727|IC2556|34.50|2.5|269.5031|17.6366|149.3442|-41.9964|2517|2298|2213|-22.07|13.08|-23.09|3| | | |32.69|0.15| |488|"31 -2  2"
29730|NGC3156|22.40|2.2|238.2594|45.1334|99.6874|-37.6275|1296|1158|1110|-2.98|17.48|-13.67|2| | |31.75| | | |372|"21-10 10"
29743|ESO436-001|34.40|4.9|265.0721|23.1346|140.0775|-42.8362|2611|2400|2319|-19.32|16.17|-23.36|3| | | |32.68|0.29| |500|"31  5  2"
29747|NGC3153|32.70|6.1|226.2517|50.2258|89.1426|-33.4459|2810|2704|2669|0.41|27.25|-18.00|3| | | |32.57|0.37| |573|"32  3  3"
29800|NGC3162|26.40|1.6|211.0388|54.0775|79.2250|-28.0637|1297|1228|1208|4.36|22.91|-12.43|3| | | |32.11|0.13| |368|"21 -6  6"
29814|NGC3166|23.70|1.9|238.1464|45.5245|99.4742|-37.2660|1344|1208|1159|-3.10|18.57|-14.33|3| | | |31.87|0.17| |372|"21-10 10"
29835|UGC05522|23.70|1.9|233.8863|47.6187|95.4089|-35.7552|1228|1103|1060|-1.81|19.11|-13.82|3| | | |31.87|0.17| |372|"21-10 10"
29851|UGC05518|32.00| |182.0051|55.2268|64.7505|-17.9297|2115|2111|2117|13.13|27.85|-9.96|4| | | | | |32.55|181|"13  0  0"
29855|NGC3169|23.70|1.9|238.2006|45.6465|99.4847|-37.1385|1232|1096|1048|-3.11|18.60|-14.28|3| | | |31.87|0.17| |372|"21-10 10"
29865|UGC05524|26.40|1.6|212.1340|54.0970|79.9253|-28.2420|1642|1571|1550|4.07|22.92|-12.50|3| | | |32.11|0.13| |368|"21 -6  6"
29883|NGC3173|34.40|4.9|265.3135|23.4937|139.8417|-42.4514|2501|2291|2210|-19.37|16.35|-23.19|3| | | |32.68|0.29| |500|"31  5  2"
29891|ESO263-021|15.10|3.2|275.9109|9.6376|162.1273|-39.0755|1118|893|803|-11.18|3.61|-9.54|3| | | |30.90|0.41| |1014|"54  0  1"
29892|NGC3175|14.90|1.5|266.1197|22.5777|141.4301|-42.3359|1101|889|808|-8.59|6.85|-10.01|3| | | |30.86|0.21| |1009|"54 -2  1"
29898|IC2559|32.50|3.8|269.4557|18.4366|148.3566|-41.6792|2987|2769|2684|-20.67|12.74|-21.62|3| | | |32.56|0.24| |489|"31  2  2"
29915|ESO263-023|35.20|2.5|275.2332|10.6784|160.5910|-39.4112|3032|2807|2718|-25.62|9.03|-22.32|3| | | |32.73|0.15| |506|"31 -6  6"
29947|ESO263-024|13.00| |276.1982|9.4952|162.4051|-38.8434|1050|825|735|-9.43|2.99|-7.97|4| | | | | |30.52|1015|"54  4  4"
29969|UGC05539|23.70|1.9|239.4508|45.5144|100.5885|-37.0500|1278|1140|1090|-3.47|18.56|-14.25|3| | | |31.87|0.17| |372|"21-10 10"
29993|IC2560|32.50|3.8|269.4218|19.0267|147.6351|-41.4388|2925|2708|2623|-20.58|13.05|-21.51|3| | | |32.56|0.24| |489|"31  2  2"
30005|PGC030005|27.00| |171.9128|54.3234|60.3459|-13.8430|1643|1663|1678|12.75|22.40|-6.35|4| | | | | |32.12|182|"13  0  0"
30010|NGC3177|26.40|1.6|214.0266|54.2989|81.1968|-28.3566|1301|1227|1204|3.56|22.98|-12.55|3| | | |32.11|0.13| |368|"21 -6  6"
30019|NGC3147|39.80|8.3|136.2901|39.4633|39.2257|4.8431|2820|2943|2999|30.73|25.09|3.36|3| | | |33.00|0.41| |781|"42  0  0"
30022|ESO213-011|28.60|2.3|278.5252|6.5295|166.7910|-37.3613|2741|2515|2425|-22.11|5.19|-17.34|3| | | |32.28|0.17| |510|"31 -8  6"
30041|IC0600|18.00| |246.3249|41.8189|108.1073|-38.8410|1314|1158|1100|-4.47|13.66|-11.57|4| | | | | |31.33|375|"21 10 10"
30059|NGC3185|26.40|1.6|213.2224|54.7039|80.8096|-27.8414|1235|1163|1141|3.73|23.07|-12.34|3| | | |32.11|0.13| |368|"21 -6  6"
30068|NGC3187|26.40|1.6|212.9328|54.7911|80.6555|-27.7113|1578|1507|1485|3.80|23.08|-12.29|3| | | |32.11|0.13| |368|"21 -6  6"
30083|NGC3190|26.40|1.6|213.0336|54.8443|80.7352|-27.6764|1337|1266|1244|3.77|23.10|-12.27|3| | | |32.11|0.13| |368|"21 -6  6"
30087|NGC3184|13.00| |178.3350|55.6379|63.6697|-16.0761|592|597|605|5.64|11.41|-3.67|4| | | | | |30.61|285|"15  7  7"
30099|NGC3193|34.00|3.4|212.9689|54.9343|80.7232|-27.5796|1378|1307|1285|4.86|29.78|-15.76|2| | |32.66| | | |368|"21 -6  6"
30177|NGC3203|32.00| |265.6133|24.9570|138.4286|-41.3975|2424|2217|2136|-18.16|16.11|-21.40|4| | | | | |32.55|501|"31  5  2"
30180|NGC3208|37.00| |265.0460|25.6776|137.2496|-41.3979|3007|2801|2721|-20.37|18.83|-24.46|4| | | | | |32.84|503|"31  0  2"
30182|UGC05574|26.40|1.6|212.1751|55.3778|80.3766|-27.0250|1467|1398|1377|3.94|23.21|-12.01|3| | | |32.11|0.13| |368|"21 -6  6"
30197|NGC3198|13.80|1.4|171.2186|54.8288|60.5646|-13.2329|662|683|698|6.60|11.70|-3.16|2| | |30.70| | | |286|"15  7  7"
30231|ESO317-015|42.70|3.0|273.6248|14.7780|154.9061|-39.5267|2777|2555|2467|-29.80|13.96|-27.15|3| | | |33.15|0.15| |509|"31 -7  6"
30263|UGC05588|26.40|1.6|207.2477|56.3363|77.8337|-25.1949|1291|1234|1217|5.04|23.37|-11.25|3| | | |32.11|0.13| |368|"21 -6  6"
30308|NGC3223|32.50|3.8|270.7953|19.0906|148.3368|-40.2522|2893|2676|2591|-21.12|13.02|-21.01|3| | | |32.56|0.24| |489|"31  2  2"
30322|NGC3206|25.80|1.7|154.0944|50.1612|51.9359|-5.6647|1161|1226|1259|15.84|20.23|-2.55|3| | | |32.06|0.14| |157|"13 -1  1"
30407|ESO317-020|32.00| |275.7066|12.6611|158.3552|-38.3541|2597|2374|2285|-23.59|9.36|-20.08|4| | | | | |32.55|513|"31  0  6"
30422|ESO263-031|28.60|2.3|278.5542|8.3956|164.5265|-36.8886|2674|2449|2359|-22.03|6.10|-17.15|3| | | |32.28|0.17| |510|"31 -8  6"
30440|NGC3226|23.50|2.4|216.9279|55.4431|83.3365|-27.6314|1275|1198|1172|2.42|20.72|-10.92|2| | |31.86| | | |368|"21 -6  6"
30445|NGC3227|26.40|1.6|216.9917|55.4454|83.3770|-27.6364|1157|1080|1054|2.70|23.25|-12.26|3| | | |32.11|0.13| |368|"21 -6  6"
30484|UGC05612|16.60|3.3|138.1571|41.6162|41.4942|3.6064|1011|1126|1178|12.41|10.97|1.04|3| | | |31.10|0.39| |119|"12 -7  7"
30498|NGC3241|37.00| |270.2031|20.8773|145.9281|-39.9259|3019|2805|2720|-23.49|15.89|-23.74|4| | | | | |32.84|490|"31  2  2"
30531|UGC05633|28.60|3.3|225.3170|53.7309|88.5988|-29.9242|1390|1294|1261|0.61|24.76|-14.25|3| | | |32.28|0.24| |403|"21  0  0"
30534|ESO317-023|42.70|3.0|274.3013|15.2732|154.6195|-38.7376|2804|2583|2495|-30.06|14.26|-26.69|3| | | |33.15|0.15| |509|"31 -7  6"
30560|NGC3239|10.00| |221.6350|54.8189|86.2374|-28.6738|754|667|637|0.60|9.08|-4.98|4| | | | | |30.08|275|"15  0  1"
30569|NGC3225|36.80|6.8|152.1236|49.8645|51.2959|-4.5310|2137|2207|2241|22.95|28.64|-2.91|3| | | |32.83|0.37| |183|"13  0  0"
30594|NGC3244|42.70|3.0|274.7270|14.9194|155.2318|-38.4823|2638|2417|2329|-30.32|13.99|-26.54|3| | | |33.15|0.15| |509|"31 -7  6"
30604|UGC05642|32.40|6.7|229.9614|52.5438|91.8401|-31.0948|2350|2244|2206|-0.89|27.70|-16.71|3| | | |32.55|0.41| |574|"32  3  3"
30630|UGC05646|28.60|3.3|226.1342|53.8209|89.1589|-29.8501|1370|1273|1239|0.36|24.78|-14.22|3| | | |32.28|0.24| |403|"21  0  0"
30664|DDO078|3.36|0.17|141.1342|43.9950|44.0971|1.6916|55|160|207|2.41|2.34|0.10|1|27.63|0.10| | | | |217|"14-10 10"
30670|IC0610|26.40|1.6|216.7857|56.2222|83.4272|-26.8524|1189|1114|1088|2.70|23.42|-11.94|3| | | |32.11|0.13| |368|"21 -6  6"
30671|NGC3250|42.70|4.3|274.9686|14.9329|155.3218|-38.2593|2820|2599|2511|-30.44|13.99|-26.41|2| | |33.15| | | |509|"31 -7  6"
30684|NGC3246|35.50|7.4|240.4784|48.3658|100.4859|-34.1149|2149|2017|1968|-5.35|28.89|-19.90|3| | | |32.75|0.41| |1279|"30  0  0"
30714|NGC3245A|21.80|1.6|201.6435|58.1720|75.6799|-22.2519|1327|1283|1271|4.99|19.53|-8.25|3| | | |31.69|0.15| |370|"21 -8  8"
30715|PGC030715|20.00| |154.3512|51.1247|52.9094|-5.5370|799|862|894|11.76|15.55|-1.89|4| | | | | |31.46|159|"13  1  1"
30716|ESO375-026|34.50|2.5|272.9315|18.0963|150.6277|-38.8493|3122|2904|2817|-23.42|13.19|-21.65|3| | | |32.69|0.15| |488|"31 -2  2"
30744|NGC3245|20.90|2.1|201.9053|58.2206|75.8363|-22.2729|1358|1314|1302|4.73|18.75|-7.92|2| | |31.60| | | |370|"21 -8  8"
30785|NGC3256|35.20|2.5|277.3725|11.7276|160.1151|-37.0949|2738|2515|2425|-26.37|9.54|-21.20|3| | | |32.73|0.15| |506|"31 -6  6"
30814|IC2580|37.00| |270.3701|22.1539|144.5712|-39.1780|3139|2927|2842|-23.36|16.62|-23.36|4| | | | | |32.84|491|"31  2  2"
30819|IC2574|3.91|0.20|140.2068|43.6073|43.6321|2.3100|38|145|194|2.83|2.70|0.16|1|27.96|0.10| | | | |217|"14-10 10"
30831|UGC05675|26.40|1.6|218.2030|56.4506|84.3402|-26.7782|1104|1027|1000|2.33|23.48|-11.90|3| | | |32.11|0.13| |368|"21 -6  6"
30849|NGC3257|34.40|3.4|272.9118|18.7655|149.8377|-38.5880|3200|2983|2896|-23.22|13.49|-21.43|2| | |32.68| | | |488|"31 -2  2"
30859|NGC3258|32.10|3.2|272.9008|18.8214|149.7672|-38.5739|2778|2561|2475|-21.66|12.62|-19.99|2| | |32.53| | | |488|"31 -2  2"
30865|NGC3250E|42.70|3.0|275.4590|15.0715|155.3701|-37.7673|2818|2598|2509|-30.65|14.06|-26.13|3| | | |33.15|0.15| |509|"31 -7  6"
30867|NGC3256B|28.60|2.3|277.8233|11.4153|160.6511|-36.7648|2714|2491|2401|-21.60|7.59|-17.10|3| | | |32.28|0.17| |510|"31 -8  6"
30868|NGC3261|32.00| |277.9610|11.2004|160.9565|-36.6977|2552|2329|2239|-24.53|8.47|-19.34|4| | | | | |32.55|513|"31  0  6"
30873|NGC3256C|32.00| |277.5368|11.8921|159.9785|-36.8923|2550|2328|2237|-24.32|8.86|-19.43|4| | | | | |32.55|513|"31  0  6"
30875|NGC3260|34.50|2.5|272.9324|18.8538|149.7457|-38.5332|2413|2196|2110|-23.32|13.60|-21.50|3| | | |32.69|0.15| |488|"31 -2  2"
30887|NGC3263|35.20|2.5|277.7032|11.6716|160.3021|-36.8023|3015|2792|2702|-26.50|9.49|-21.06|3| | | |32.73|0.15| |506|"31 -6  6"
30895|NGC3254|21.80|1.6|200.1091|58.7536|75.2196|-21.3577|1366|1326|1315|5.17|19.61|-7.93|3| | | |31.69|0.15| |370|"21 -8  8"
30905|ESO375-041|34.50|2.5|272.8130|19.1805|149.3064|-38.4972|1852|1636|1549|-23.23|13.79|-21.48|3| | | |32.69|0.15| |488|"31 -2  2"
30915|ESO501-001|50.60|3.6|265.9321|28.3868|135.0078|-39.1532|3776|3575|3496|-27.74|27.73|-31.94|3| | | |33.52|0.15| |487|"31 -1  1"
30939|PGC030939|34.50|2.5|272.9463|19.1246|149.4393|-38.4070|1781|1565|1478|-23.29|13.75|-21.44|3| | | |32.69|0.15| |488|"31 -2  2"
30949|NGC3268|34.80|3.5|272.9400|19.1806|149.3713|-38.3886|2818|2602|2515|-23.49|13.91|-21.63|2| | |32.71| | | |488|"31 -2  2"
30983|UGC05688|31.30|6.5|138.4450|42.5773|42.4728|3.4827|1916|2029|2080|23.07|21.12|1.90|3| | | |32.48|0.41| |155|"12  0  0"
30992|NGC3273|34.50|2.5|273.1905|18.9939|149.7143|-38.2527|2419|2203|2116|-23.40|13.67|-21.37|3| | | |32.69|0.15| |488|"31 -2  2"
30997|UGC05692|3.90|0.20|137.8954|42.1769|42.0363|3.8507|180|295|346|2.89|2.61|0.26|1|27.96|0.10| | | | |217|"14-10 10"
31001|ESO501-002|50.60|3.6|268.4017|25.6794|139.4870|-38.9033|3562|3356|3274|-29.93|25.57|-31.77|3| | | |33.52|0.15| |487|"31 -1  1"
31011|UGC05689|39.80|8.3|134.9407|39.7920|39.4866|5.9017|2827|2953|3008|30.56|25.18|4.09|3| | | |33.00|0.41| |781|"42  0  0"
31014|NGC3275|37.50|7.4|273.9009|18.0877|151.1165|-38.0111|3211|2994|2906|-25.87|14.27|-23.09|3| | | |32.87|0.39| |492|"31  2  2"
31029|NGC3265|21.80|1.6|201.5158|59.0808|76.0726|-21.4168|1447|1405|1393|4.88|19.68|-7.95|3| | | |31.69|0.15| |370|"21 -8  8"
31032|UGC05706|25.70|5.3|190.3854|59.1630|71.0567|-18.2072|1494|1474|1471|7.93|23.09|-8.03|3| | | |32.05|0.41| |371|"21  9  9"
31037|UGC05708|23.30|4.8|240.7968|49.6309|100.3120|-32.8408|1177|1048|1000|-3.51|19.29|-12.65|3| | | |31.84|0.41| |376|"21 10 10"
31040|UGC05707|18.70|3.9|174.1992|57.5054|63.7969|-13.1336|2800|2814|2824|8.04|16.35|-4.25|3| | | |31.36|0.41| |1271|"20  0  0"
31068|NGC3278|42.70|3.0|275.8215|15.4427|155.0882|-37.3088|2961|2741|2652|-30.77|14.29|-25.86|3| | | |33.15|0.15| |509|"31 -7  6"
31076|ESO263-051|28.60|2.3|278.8067|10.7391|161.7970|-36.0313|2664|2441|2351|-21.95|7.22|-16.81|3| | | |32.28|0.17| |510|"31 -8  6"
31122|NGC3274|10.00| |203.7573|59.2136|77.2423|-21.8122|537|491|477|2.13|9.39|-3.86|4| | | | | |30.08|276|"15  0  1"
31125|NGC3264|20.00| |153.9371|51.8408|53.5206|-5.0799|942|1005|1036|11.60|15.69|-1.73|4| | | | | |31.46|160|"13  1  1"
31141|UGC05720|20.00| |156.1962|52.8026|54.8671|-6.0975|1446|1503|1531|11.21|15.93|-2.08|4| | | | | |31.46|161|"13  1  1"
31145|NGC3259|24.00| |143.2583|46.2282|46.5150|0.5129|1677|1773|1817|16.66|17.56|0.22|4| | | | | |31.92|121|"12 -9  9"
31166|NGC3277|21.80|1.6|202.1465|59.4485|76.5614|-21.2386|1408|1365|1353|4.72|19.74|-7.89|3| | | |31.69|0.15| |370|"21 -8  8"
31178|ESO317-046|15.10|3.2|275.5333|16.4171|153.8207|-37.2156|964|745|657|-10.82|5.32|-9.15|3| | | |30.90|0.41| |1014|"54  0  1"
31217|NGC3285|50.60|3.6|268.9156|26.1639|139.2888|-38.2519|3378|3173|3090|-30.11|25.91|-31.32|3| | | |33.52|0.15| |487|"31 -1  1"
31275|UGC05739|46.60|8.9|228.6915|55.3603|90.8532|-28.3099|2966|2869|2834|-0.61|40.99|-22.08|3| | | |33.34|0.38| |577|"32  4  4"
31278|NGC3252|20.20|4.2|134.7992|40.0493|39.7387|6.0248|1156|1282|1337|15.47|12.86|2.12|3| | | |31.53|0.41| |120|"12 -8  7"
31286|BK6N|3.31|0.22|142.0529|45.7059|45.8786|1.2678| | | |2.30|2.38|0.07|1|27.60|0.14| | | | |217|"14-10 10"
31302|NGC3279|28.60|3.3|232.6212|54.1731|93.5236|-29.3463|1391|1286|1246|-1.53|24.86|-14.00|3| | | |32.28|0.24| |403|"21  0  0"
31307|UGC05740|16.00| |161.1693|54.9767|57.9721|-8.0500|651|695|717|8.48|13.55|-2.26|4| | | | | |31.04|290|"15  0  7"
31311|NGC3287|26.40|1.6|215.3858|58.5059|83.1558|-24.4598|1306|1238|1214|2.87|23.88|-10.94|3| | | |32.11|0.13| |368|"21 -6  6"
31335|NGC3366|35.20|2.5|278.4065|12.5943|159.4629|-35.8710|2884|2663|2572|-26.68|10.00|-20.60|3| | | |32.73|0.15| |506|"31 -6  6"
31359|ESO501-023|9.86|1.41|267.5736|28.6205|135.8588|-37.8524|1048|848|767|-5.59|5.42|-6.05|3| | | |29.97|0.29| |1013|"54  0  1"
31360|ESO437-004|50.60|3.6|269.8130|25.6701|140.3673|-37.8349|3304|3098|3015|-30.77|25.48|-31.03|3| | | |33.52|0.15| |487|"31 -1  1"
31414|ESO375-071|15.10|3.2|275.1248|18.2224|151.5426|-36.8903|959|742|654|-10.64|5.77|-9.09|3| | | |30.90|0.41| |1014|"54  0  1"
31428|NGC3294|24.00| |184.6183|59.8424|69.2474|-15.7521|1586|1578|1579|8.26|21.79|-6.57|4| | | | | |31.92|404|"21  0  0"
31435|UGC05760|46.60|8.9|229.1707|55.7734|91.1458|-27.8887|3011|2915|2879|-0.82|41.14|-21.78|3| | | |33.34|0.38| |577|"32  4  4"
31442|NGC3299|11.10|0.7|230.7308|55.2948|92.1730|-28.3218|597|497|460|-0.37|9.78|-5.27|3| | | |30.23|0.13| |266|"15 -1  1"
31466|NGC3309|50.60|3.6|269.5713|26.4807|139.3542|-37.5862|4055|3850|3768|-30.41|26.11|-30.85|3| | | |33.52|0.15| |487|"31 -1  1"
31472|NGC3300|46.60|8.9|228.5056|56.0510|90.7157|-27.6220|3079|2984|2949|-0.51|41.25|-21.59|3| | | |33.34|0.38| |577|"32  4  4"
31477|UGC05764|10.00| |196.1788|60.4276|74.3265|-18.8974|584|554|546|2.65|9.45|-3.36|4| | | | | |30.08|277|"15  0  1"
31478|NGC3311|50.60|3.6|269.6019|26.4875|139.3656|-37.5595|3868|3663|3581|-30.43|26.11|-30.83|3| | | |33.52|0.15| |487|"31 -1  1"
31493|ESO437-014|45.30|5.3|272.5077|22.4566|145.4276|-37.2939|2860|2649|2563|-29.67|20.45|-27.44|3| | | |33.28|0.24| |504|"31  0  2"
31497|NGC3301|26.40|1.6|215.2312|59.0503|83.2061|-23.9114|1321|1254|1231|2.86|23.99|-10.71|3| | | |32.11|0.13| |368|"21 -6  6"
31513|NGC3312|50.60|3.6|269.6928|26.4965|139.4111|-37.4860|2869|2664|2582|-30.48|26.12|-30.78|3| | | |33.52|0.15| |487|"31 -1  1"
31528|NGC3306|46.60|8.9|230.9789|55.4310|92.3221|-28.1763|2889|2789|2752|-1.66|41.01|-21.98|3| | | |33.34|0.38| |577|"32  4  4"
31531|NGC3314A|50.60|3.6|269.8013|26.4181|139.5602|-37.4461|2859|2654|2572|-30.56|26.05|-30.75|3| | | |33.52|0.15| |487|"31 -1  1"
31533|NGC3318|34.70|3.5|277.6691|14.5692|156.8703|-35.9296|2772|2552|2463|-25.82|11.03|-20.35|2| | |32.70| | | |506|"31 -6  6"
31560|UGC05765|31.30|6.5|138.9930|43.8967|43.8269|3.2126|1823|1933|1981|22.57|21.66|1.76|3| | | |32.48|0.41| |155|"12  0  0"
31590|ESO437-018|45.30|5.3|271.7239|23.9883|143.3049|-37.1967|3392|3183|3099|-28.93|21.56|-27.38|3| | | |33.28|0.24| |504|"31  0  2"
31600|ESO019-003|28.00|5.8|297.7498|-19.5998|198.5976|-20.5688|2019|1827|1746|-24.89|-8.38|-9.86|3| | | |32.24|0.41| |1007|"53  0  0"
31601|UGC05776|24.00| |143.4946|47.1841|47.4843|0.4972|1625|1719|1762|16.36|17.84|0.21|4| | | | | |31.92|121|"12 -9  9"
31622|ESO317-054|37.00| |275.9630|17.6984|152.5278|-36.3563|3050|2833|2745|-26.42|13.74|-21.92|4| | | | | |32.84|493|"31  2  2"
31650|NGC3310|20.00| |156.6092|54.0614|56.1440|-5.9174|994|1049|1075|10.85|16.18|-2.02|4| | | | | |31.46|162|"13  1  1"
31653|NGC3321|36.60|5.2|258.8818|39.6227|119.6890|-35.6251|2487|2315|2246|-14.75|25.88|-21.34|3| | | |32.82|0.29| |432|"22  0  0"
31671|NGC3319|13.30|1.3|175.9803|59.3418|65.8826|-12.8012|741|751|759|5.30|11.84|-2.95|2| | |30.62| | | |287|"15  7  7"
31677|ESO437-030|50.60|3.6|271.7821|24.4611|142.8214|-36.9183|3756|3548|3464|-32.22|24.44|-30.38|3| | | |33.52|0.15| |487|"31 -1  1"
31683|ESO501-068|50.60|3.6|269.7187|27.3787|138.4952|-36.9891|3081|2878|2796|-30.26|26.78|-30.43|3| | | |33.52|0.15| |487|"31 -1  1"
31708|NGC3320|33.60|6.2|165.8441|57.2593|61.1895|-9.4212|2317|2349|2366|15.96|29.02|-5.50|3| | | |32.63|0.37| |184|"13  0  0"
31732|ESO437-034|50.60|3.6|271.4135|25.2963|141.7084|-36.7910|3803|3597|3512|-31.79|25.10|-30.29|3| | | |33.52|0.15| |487|"31 -1  1"
31760|ESO214-017|13.00| |281.6747|8.8153|164.9501|-33.7940|1052|830|739|-10.20|2.74|-7.07|4| | | | | |30.52|1015|"54  4  4"
31761|NGC3347A|34.50|2.5|275.4308|19.3641|150.3814|-36.1713|2731|2516|2428|-24.22|13.77|-20.37|3| | | |32.69|0.15| |488|"31 -2  2"
31832|ESO318-003|42.70|3.0|278.4627|14.7609|156.9558|-35.1414|2767|2548|2458|-32.10|13.66|-24.55|3| | | |33.15|0.15| |509|"31 -7  6"
31840|ESO501-079|37.50|8.6|268.0034|30.5292|134.1989|-36.4268|1199|1003|923|-21.03|21.63|-22.27|3| | | |32.87|0.45| |1019|"54  0  0"
31875|NGC3347B|37.50|7.4|276.0162|19.0815|150.9732|-35.7763|3184|2969|2881|-26.60|14.76|-21.92|3| | | |32.87|0.39| |492|"31  2  2"
31883|NGC3338|21.40|4.0|230.3312|57.0195|91.8025|-26.6143|1301|1207|1171|-0.60|19.10|-9.58|3| | | |31.65|0.37| |364|"21 -5  1"
31888|PGC031888|25.00| |164.8607|57.4857|61.1474|-8.8462|1543|1577|1594|12.09|21.94|-3.90|4| | | | | |32.02|185|"13  0  0"
31909|ESO437-047|45.30|5.3|272.7733|24.3299|143.5112|-36.1936|2498|2290|2205|-29.38|21.74|-26.74|3| | | |33.28|0.24| |504|"31  0  2"
31919|ESO501-080|9.86|1.41|268.6219|30.2209|134.8980|-36.1771|1043|846|766|-5.62|5.64|-5.82|3| | | |29.97|0.29| |1013|"54  0  1"
31923|UGC05829|16.20|1.2|190.0695|61.5315|72.4878|-16.2665|633|616|612|4.69|14.85|-4.54|3| | | |31.05|0.16| |288|"15  8  7"
31926|NGC3347|29.80|3.5|275.8470|19.6627|150.2379|-35.6922|3010|2796|2708|-21.00|12.01|-17.38|3| | | |32.37|0.24| |494|"31 -3  2"
31941|NGC3354|29.80|3.5|275.9027|19.6818|150.2423|-35.6365|2999|2785|2697|-21.01|12.02|-17.35|3| | | |32.37|0.24| |494|"31 -3  2"
31945|UGC05833|26.40|1.6|218.8374|59.9706|85.3605|-23.3653|1308|1238|1212|1.96|24.18|-10.48|3| | | |32.11|0.13| |368|"21  6  6"
31951|ESO501-082|50.60|3.6|270.1841|28.3456|137.7676|-36.1158|4527|4326|4244|-30.25|27.47|-29.81|3| | | |33.52|0.15| |487|"31 -1  1"
31968|NGC3344|10.00| |210.0399|61.2549|81.1683|-21.0865|585|532|512|1.49|9.57|-3.73|4| | | | | |30.08|278|"15  0  1"
31974|NGC3358|29.80|3.5|276.0213|19.6906|150.2872|-35.5307|2988|2774|2686|-21.05|12.02|-17.31|3| | | |32.37|0.24| |494|"31 -3  2"
31979|PGC031979|24.00| |258.5846|41.7512|117.8397|-34.1153|2077|1911|1844|-9.36|17.72|-13.58|4| | | | | |31.92|433|"22  0  0"
31981|ESO437-054|50.60|3.6|271.8425|26.1813|141.0043|-36.0090|3500|3295|3211|-31.80|25.75|-29.74|3| | | |33.52|0.15| |487|"31 -1  1"
31982|NGC3346|21.40|4.0|228.8167|57.8783|90.8543|-25.7910|1259|1169|1134|-0.29|19.25|-9.30|3| | | |31.65|0.37| |364|"21 -5  1"
31987|ESO501-086|50.60|3.6|269.1496|30.0022|135.4457|-35.9319|3727|3529|3449|-29.18|28.74|-29.68|3| | | |33.52|0.15| |487|"31 -1  1"
31995|ESO318-004|29.80|3.5|277.0489|18.1126|152.5331|-35.2430|2955|2739|2650|-21.58|11.22|-17.19|3| | | |32.37|0.24| |494|"31 -3  2"
32007|NGC3351|10.00|1.0|233.9516|56.3680|94.0885|-27.0783|778|677|638|-0.34|4.75|-2.44|2| | |30.00| | | |266|"15 -1  1"
32016|UGC05846|16.00| |147.0120|50.4048|51.0606|-1.2193|1018|1099|1136|10.14|12.55|-0.34|4| | | | | |31.04|109|"12  0  1"
